md5,AntiVir,AVG,Comodo,F-Secure,Kaspersky,McAFee,Microsoft,Sophos,Symantec
26fe6e1c61e63e0a9fa52c4f24b7a67e,0,0,1,0,0,0,0,0,0
2710dbce04ded2eb1c1408491db83bcb,0,0,1,0,0,0,0,0,0
27c562deafcc4569fd02b6895fd8ebc3,0,0,1,0,0,0,0,0,0
2819872024798bea001309a758be4514,0,0,1,0,0,0,0,0,0
282aa862e7b1e42f59ec49b3829419b4,0,31,0,28,31,31,31,31,0
2856dd25ad3d7ed8c7c25c3b1d1a96f3,0,31,0,26,31,31,31,31,0
28761f123364d3be33ca5fdc9da2a299,0,0,1,0,0,0,0,0,0
2877d747bd19c8bd1989f53db050af45,0,0,1,0,0,0,0,0,0
287efb35de219c23151ccd4a19de6221,0,0,1,0,0,0,0,0,0
28c1e90b38cb6c92096646a49f4524d2,0,0,2,0,0,0,0,0,0
290753e3e390835bff5adc16e2bf2df9,0,0,1,0,0,0,0,0,0
2934da9ce76ae8de8098f6580a2f545f,0,30,0,23,31,31,31,31,0
294aa18d98f3ad72177dd3a22f0d7647,0,0,1,0,0,0,0,0,0
29dfcb6305b3120dad56d2b44d77de5f,0,0,1,0,0,0,0,0,0
29ed3c53c5285f16f17912bd57c2d4f2,0,0,1,0,0,0,0,0,0
2a0979171d05f9198daeaa0b9dd346f2,0,0,1,0,0,0,0,0,0
2a731ece80b1923c8ee83fd2d7fef574,0,0,1,0,0,0,0,0,0
2a7f760848af4375d8929eb69fcfd8ff,0,0,1,0,0,0,0,0,0
2a87e179f27d03c380ee1473e078e217,0,0,1,0,0,0,0,0,0
2aae6518166eb2463fa845291a06fbce,0,0,1,0,0,0,0,0,0
2ab22dc65eb32b8afbf42761d27f2954,0,0,1,0,0,0,0,0,0
2b6b9064aaf2c10fc270b879e6e4a991,0,31,0,23,31,31,31,0,0
2b9e2215847737740f73c28361192455,0,0,1,0,0,0,0,0,0
2b9fd09a27296301f386513eeb5daa81,0,0,1,0,0,0,0,0,0
2c694feacc487e8ca591b58c52dfdec1,0,0,1,0,0,0,0,0,0
2c820b8cb729da6dec47ba4ae0b5e9df,0,30,0,0,31,31,31,31,0
2dbf3a4c42fe4f86242b938620c8e502,0,31,0,0,0,0,0,0,0
2dc8134c11f298db8d135dda87eeaef1,0,0,1,0,0,0,0,0,0
2e68cc42b2b373442b692ff53be119ce,0,31,0,25,31,31,31,31,0
2e9efe95f2fc9d802545e61af9dc610e,0,31,1,26,31,31,31,31,0
2ea28ced6fd784609a0db96068e7c659,0,0,2,0,0,0,0,0,0
2eaa1666f9df58cd7eabe5eafdf66b62,0,0,1,0,0,0,0,0,0
2eaad40010c252d65c6e0f0f2e1829ab,0,0,1,0,0,0,0,0,0
3061340dadfa72041f607fe34c7d1c86,0,0,31,0,0,0,0,0,0
3066f3ce27acabcb492732b7903bdcf0,0,0,1,0,0,0,0,0,0
30950e30cc3436edf4dde52857eb4cb2,0,0,2,0,0,0,0,0,0
315ee5f1cf2621fc8478d052400e5c2f,0,0,1,0,0,0,0,0,0
318bb8b8151a13ce147fe39cac1901f4,0,0,1,0,0,0,0,0,0
32318888c053597b61dad26cdd3d8dce,0,0,2,0,0,0,0,0,0
323e2a5dd396045a19fcae1d50a37955,0,0,1,0,0,0,0,0,0
3245748986622df0610d213f3fe8be12,0,0,1,0,0,0,0,0,0
338e0456055b4ee89ff54f95e47e6cd9,0,0,1,0,0,0,0,0,0
33959bb2c48363ddd3637ea78c048b6c,0,0,1,0,0,0,0,0,0
339726543816bae7685548f15ec6aa0a,0,0,1,0,0,0,0,0,0
34fd30812531c3f0ed7409206764640e,0,0,1,0,0,0,0,0,0
35053600123cad2a5f4425ffac1e204c,0,0,1,0,0,0,0,0,0
357a1792fb400fe0cf2093959eaccdb2,31,0,0,0,31,0,31,0,0
3608f0fa72c8a01f39311511658b0d18,0,0,1,0,0,0,0,0,0
371c06274533065c7f47dfc3c180a0d1,0,31,0,26,31,31,31,31,0
376d12dfb60ff669f645a782d72fafd1,0,0,0,0,0,0,31,0,0
383a0b01ac659df37808b00474ffb0b4,0,0,1,0,0,0,0,0,0
3847271dcfa2284f623e139dd3a99a33,0,0,1,0,0,0,0,0,0
3848267bf0baac4c12d83899fd3f6edf,0,31,1,0,31,31,31,31,0
384c550062744559fb897baa22f806f8,0,0,1,0,0,0,0,0,0
39a2750085f256a032f7ffea3c5a1be0,0,0,1,0,0,0,0,0,0
39b4042764ae7378eaa63278efe81c2b,0,0,1,0,0,0,0,0,0
39b8ab14eaf444c6a873685e4fc644d3,0,0,1,0,0,0,0,0,0
3a33ca86f1609a90e4a278de4ac39d52,0,31,0,26,31,31,31,31,0
3cc48ec811732955fad5ea9d884ec908,0,31,0,29,31,31,31,31,0
3d35a418715fb68f0434b983c7ae6d95,0,0,1,0,0,0,0,0,0
3e89feae5bb7c3f99e59d106c665acb3,0,0,1,0,0,0,0,0,0
3ef37a2be0499887cf0cecb15cc4acd9,0,0,0,0,0,0,30,0,0
3f05ecb8250975e19cd5352c962b9fad,0,0,2,0,0,0,0,0,0
3f8d3bc01c54cc1ca7ed9fcfb2c2e9a9,0,0,1,0,0,0,0,0,0
3f96d9f9321dae35df874d65879b097b,0,0,1,0,0,0,0,0,0
3faf9c50458f90bf0648389e5f7ae5e5,0,0,1,0,0,0,0,0,0
3fc0af6356ede150d6eabae4cc9a0bdb,0,0,1,0,0,0,0,0,0
3fe3091b090d6bda556cd03b38b363a8,0,0,1,0,0,0,0,0,0
3ffe1268a2c85f9cda635930f794cabb,0,0,1,0,0,0,0,0,0
40372b3a58aba5ee7d914ef752ac730e,0,0,1,0,0,0,0,0,0
4080136401c1dd506ce173d9c8514454,0,31,0,24,31,31,31,31,0
41021d2fe1f6df30da353de9c2f10f02,0,0,1,0,0,0,0,0,0
42056b7074556817c68cc8d9648a5413,0,0,1,0,0,0,0,0,0
4215b180ad5c3098790177a6342eb467,0,0,1,0,0,0,0,0,0
42bf106f97b78538d23ee8c5f3a13832,0,0,1,0,0,0,0,0,0
42cea19e1248a353ca2d601ecc7e0350,0,0,1,0,0,0,0,0,0
43657555bc398e5fc899f6f730da59ad,0,0,1,0,0,0,0,0,0
440b56b17e412da3c0dff17a654d2808,0,0,1,0,0,0,0,0,0
44254d26b177b95de0b0bc95891d3259,0,0,1,0,0,0,0,0,0
446228ac106dc5ea03fbff4c1d1cf0c7,0,0,1,0,0,0,0,0,0
447ec4bd77a016ceb071412a8ec100f3,0,0,1,0,0,0,0,0,0
452a76b06a69077de4737e4dc25464c9,0,0,1,0,0,0,0,0,0
48048cfbf579c73b9587333d8768c282,0,0,1,0,0,0,0,0,0
481f8317e1d7248b8babf450907ae551,0,0,1,0,0,0,0,0,0
484513a39e0af849fc149d2e30c3b963,0,0,1,0,0,0,0,0,0
4907cae541ace6f2db801d29f89dc4bb,0,0,1,0,0,0,0,0,0
490a91d5d08c5568d1db38c2d0226c14,0,0,1,0,0,0,0,0,0
4934ddd5bdfa5635f946667d66c834b6,0,0,1,0,0,0,0,0,0
49d9450fd36738ae51e3ca3ad1723c99,0,0,1,0,0,0,0,0,0
49e4bc2be5672fefdfa09c6842948d40,0,0,0,0,0,0,0,0,1
49e611a63e91905025e30b8a370e944c,0,0,1,0,0,0,0,0,0
49e692ca1f0166578b227519abdcc5cf,0,0,1,0,0,0,0,0,0
4aef6b9a3131b7093f73a317cfff9724,31,0,0,0,0,0,0,0,0
4b13c0bd996fc4d4238fc1cd0a99d9e1,0,0,1,0,0,0,0,0,0
4b57c1f2c62bf4993ba4464a834fff9c,0,0,1,0,0,0,0,0,0
